Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,"International migrant stock, total",SM.POP.TOTL,7893,0,0,0,0,7677,0,0,0,0,7466,0,0,0,0,7262,0,0,0,0,7063,0,0,0,0,9860,0,0,0,0,14444,0,0,0,0,22274,0,0,0,0,30104,0,0,0,0,32540,0,0,0,0,34327,0,0,0,0,36114
Afghanistan,AFG,"International migrant stock, total",SM.POP.TOTL,46468,0,0,0,0,49535,0,0,0,0,53051,0,0,0,0,57043,0,0,0,0,59021,0,0,0,0,56118,0,0,0,0,57686,0,0,0,0,71522,0,0,0,0,75917,0,0,0,0,87300,0,0,0,0,102246,0,0,0,0,382365
Angola,AGO,"International migrant stock, total",SM.POP.TOTL,122089,0,0,0,0,77075,0,0,0,0,48657,0,0,0,0,30717,0,0,0,0,89891,0,0,0,0,108854,0,0,0,0,33517,0,0,0,0,39813,0,0,0,0,46108,0,0,0,0,61329,0,0,0,0,76549,0,0,0,0,106845
Albania,ALB,"International migrant stock, total",SM.POP.TOTL,48901,0,0,0,0,51409,0,0,0,0,54045,0,0,0,0,56816,0,0,0,0,59730,0,0,0,0,62793,0,0,0,0,66013,0,0,0,0,71354,0,0,0,0,76695,0,0,0,0,64739,0,0,0,0,52784,0,0,0,0,57616
Andorra,AND,"International migrant stock, total",SM.POP.TOTL,2497,0,0,0,0,6983,0,0,0,0,13446,0,0,0,0,18623,0,0,0,0,25792,0,0,0,0,32306,0,0,0,0,38904,0,0,0,0,40525,0,0,0,0,42146,0,0,0,0,50298,0,0,0,0,52053,0,0,0,0,42082
Arab World,ARB,"International migrant stock, total",SM.POP.TOTL,3324685,0,0,0,0,3349209,0,0,0,0,4012340,0,0,0,0,5495961,0,0,0,0,9834213,0,0,0,0,12733497,0,0,0,0,14168146,0,0,0,0,14871274,0,0,0,0,16216741,0,0,0,0,19323851,0,0,0,0,28555399,0,0,0,0,34764700
United Arab Emirates,ARE,"International migrant stock, total",SM.POP.TOTL,2194,0,0,0,0,25981,0,0,0,0,65827,0,0,0,0,312400,0,0,0,0,718479,0,0,0,0,1007837,0,0,0,0,1306574,0,0,0,0,1824118,0,0,0,0,2446675,0,0,0,0,3281036,0,0,0,0,7316611,0,0,0,0,8095126
Argentina,ARG,"International migrant stock, total",SM.POP.TOTL,2601188,0,0,0,0,2409183,0,0,0,0,2219411,0,0,0,0,2064199,0,0,0,0,1920798,0,0,0,0,1780443,0,0,0,0,1649919,0,0,0,0,1595069,0,0,0,0,1540219,0,0,0,0,1673088,0,0,0,0,1805957,0,0,0,0,2086302
Armenia,ARM,"International migrant stock, total",SM.POP.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658789,0,0,0,0,693999,0,0,0,0,657900,0,0,0,0,469119,0,0,0,0,221560,0,0,0,0,191199
American Samoa,ASM,"International migrant stock, total",SM.POP.TOTL,2384,0,0,0,0,4170,0,0,0,0,7248,0,0,0,0,10843,0,0,0,0,13594,0,0,0,0,17073,0,0,0,0,21283,0,0,0,0,23098,0,0,0,0,24912,0,0,0,0,24233,0,0,0,0,23555,0,0,0,0,23216
